representation,algo,params,n_clusters_found,n_noise,silhouette,davies_bouldin,ari
vae_mm_latents,kmeans,k=6,6,0,0.34997180104255676,0.8935107457218704,0.04255430867157968
vae_mm_latents,agglomerative,"k=6,ward",6,0,0.31116047501564026,0.951135959181355,0.04091198250311692
vae_mm_latents,dbscan,"eps=0.4,min=5",1,0,,,0.0
vae_mm_latents,dbscan,"eps=0.6,min=5",1,0,,,0.0
vae_mm_latents,dbscan,"eps=0.8,min=5",1,0,,,0.0
vae_mm_latents,dbscan,"eps=1.0,min=5",1,0,,,0.0
vae_mm_latents,dbscan,"eps=1.2,min=5",1,0,,,0.0
baseline_mel_flat,kmeans,k=6,6,0,-0.004166071303188801,4.897386082292481,0.05463066572919353
baseline_mel_flat,agglomerative,"k=6,ward",6,0,-0.017163977026939392,5.49871948346043,0.043604548686607285
baseline_mel_flat,dbscan,"eps=0.4,min=5",0,2924,,,0.0
baseline_mel_flat,dbscan,"eps=0.6,min=5",0,2924,,,0.0
baseline_mel_flat,dbscan,"eps=0.8,min=5",0,2924,,,0.0
baseline_mel_flat,dbscan,"eps=1.0,min=5",0,2924,,,0.0
baseline_mel_flat,dbscan,"eps=1.2,min=5",0,2924,,,0.0
baseline_lyrics_only,kmeans,k=6,6,0,0.03232423961162567,4.153736284031573,0.06269665489044422
baseline_lyrics_only,agglomerative,"k=6,ward",6,0,0.012945019640028477,3.8647420392757965,0.028103735764864517
baseline_lyrics_only,dbscan,"eps=0.4,min=5",2,1691,0.9647632837295532,0.039906076677132515,0.002376176502089915
baseline_lyrics_only,dbscan,"eps=0.6,min=5",3,1681,0.8913888335227966,0.3034362460678674,0.0024034452157164583
baseline_lyrics_only,dbscan,"eps=0.8,min=5",6,1648,0.5937400460243225,0.9905006964879265,0.002948872988238316
baseline_lyrics_only,dbscan,"eps=1.0,min=5",5,1010,0.08591882139444351,1.7325623905712262,0.010723916187892476
baseline_lyrics_only,dbscan,"eps=1.2,min=5",1,11,,,0.00126118280808789
